timestamp,datetime,price_usd
1651870800,2022-05-07T00:00:00,79.500000
1651874400,2022-05-07T01:00:00,79.994808
1651878000,2022-05-07T02:00:00,80.458851
1651881600,2022-05-07T03:00:00,80.863278
1651885200,2022-05-07T04:00:00,81.182942
1651888800,2022-05-07T05:00:00,81.397969
1651892400,2022-05-07T06:00:00,81.494990
1651896000,2022-05-07T07:00:00,81.467972
1651899600,2022-05-07T08:00:00,81.318595
1651903200,2022-05-07T09:00:00,81.056146
1651906800,2022-05-07T10:00:00,80.696944
1651910400,2022-05-07T11:00:00,80.263322
1651914000,2022-05-07T12:00:00,79.782240
1651917600,2022-05-07T13:00:00,79.283610
1651921200,2022-05-07T14:00:00,78.798434
1651924800,2022-05-07T15:00:00,78.356877
1651928400,2022-05-07T16:00:00,77.986395
1651932000,2022-05-07T17:00:00,77.710021
1651935600,2022-05-07T18:00:00,77.544940
1651939200,2022-05-07T19:00:00,77.501414
1651942800,2022-05-07T20:00:00,77.582151
1651946400,2022-05-07T21:00:00,77.782131
1651950000,2022-05-07T22:00:00,78.088919
1651953600,2022-05-07T23:00:00,78.483442
1651957200,2022-05-08T00:00:00,79.500000
1651960800,2022-05-08T01:00:00,79.003125
1651964400,2022-05-08T02:00:00,78.506250
1651968000,2022-05-08T03:00:00,78.009375
1651971600,2022-05-08T04:00:00,77.512500
1651975200,2022-05-08T05:00:00,77.015625
1651978800,2022-05-08T06:00:00,76.518750
1651982400,2022-05-08T07:00:00,76.021875
1651986000,2022-05-08T08:00:00,75.525000
1651989600,2022-05-08T09:00:00,75.028125
1651993200,2022-05-08T10:00:00,74.531250
1651996800,2022-05-08T11:00:00,74.034375
1652000400,2022-05-08T12:00:00,73.537500
1652004000,2022-05-08T13:00:00,73.040625
1652007600,2022-05-08T14:00:00,72.543750
1652011200,2022-05-08T15:00:00,72.046875
1652014800,2022-05-08T16:00:00,71.550000
1652018400,2022-05-08T17:00:00,71.053125
1652022000,2022-05-08T18:00:00,70.556250
1652025600,2022-05-08T19:00:00,70.059375
1652029200,2022-05-08T20:00:00,69.562500
