timestamp,datetime,price_usd
1667253600,2022-11-01T00:00:00,22.000000
1667257200,2022-11-01T01:00:00,22.163597
1667260800,2022-11-01T02:00:00,22.309185
1667264400,2022-11-01T03:00:00,22.420735
1667268000,2022-11-01T04:00:00,22.485969
1667271600,2022-11-01T05:00:00,22.497704
1667275200,2022-11-01T06:00:00,22.454649
1667278800,2022-11-01T07:00:00,22.361543
1667282400,2022-11-01T08:00:00,22.228636
1667286000,2022-11-01T09:00:00,22.070560
1667289600,2022-11-01T10:00:00,21.904716
1667293200,2022-11-01T11:00:00,21.749361
1667296800,2022-11-01T12:00:00,21.621599
1667300400,2022-11-01T13:00:00,21.535493
1667304000,2022-11-01T14:00:00,21.500523
1667307600,2022-11-01T15:00:00,21.520538
1667311200,2022-11-01T16:00:00,21.593335
1667314800,2022-11-01T17:00:00,21.710901
1667318400,2022-11-01T18:00:00,21.860292
1667322000,2022-11-01T19:00:00,22.025064
1667325600,2022-11-01T20:00:00,22.187076
1667329200,2022-11-01T21:00:00,22.328493
1667332800,2022-11-01T22:00:00,22.433748
1667336400,2022-11-01T23:00:00,22.491254
1667340000,2022-11-02T00:00:00,22.000000
1667343600,2022-11-02T01:00:00,22.025656
1667347200,2022-11-02T02:00:00,22.049014
1667350800,2022-11-02T03:00:00,22.067838
1667354400,2022-11-02T04:00:00,22.080018
1667358000,2022-11-02T05:00:00,22.083630
1667361600,2022-11-02T06:00:00,22.076985
1667365200,2022-11-02T07:00:00,22.058681
1667368800,2022-11-02T08:00:00,22.027636
1667372400,2022-11-02T09:00:00,21.983122
1667376000,2022-11-02T10:00:00,21.924787
1667379600,2022-11-02T11:00:00,21.852659
1667383200,2022-11-02T12:00:00,21.767149
1667386800,2022-11-02T13:00:00,21.669039
1667390400,2022-11-02T14:00:00,21.559460
1667394000,2022-11-02T15:00:00,21.439861
1667397600,2022-11-02T16:00:00,21.311970
1667401200,2022-11-02T17:00:00,21.177742
1667404800,2022-11-02T18:00:00,21.039310
1667408400,2022-11-02T19:00:00,20.898923
1667412000,2022-11-02T20:00:00,20.758883
1667415600,2022-11-02T21:00:00,20.621483
1667419200,2022-11-02T22:00:00,20.488945
1667422800,2022-11-02T23:00:00,20.363352
1667426400,2022-11-03T00:00:00,20.246599
1667430000,2022-11-03T01:00:00,20.140332
1667433600,2022-11-03T02:00:00,20.045909
1667437200,2022-11-03T03:00:00,19.964360
1667440800,2022-11-03T04:00:00,19.896356
1667444400,2022-11-03T05:00:00,19.842194
1667448000,2022-11-03T06:00:00,19.801788
1667451600,2022-11-03T07:00:00,19.774669
1667455200,2022-11-03T08:00:00,19.760002
1667458800,2022-11-03T09:00:00,19.756605
1667462400,2022-11-03T10:00:00,19.762984
1667466000,2022-11-03T11:00:00,19.777376
1667469600,2022-11-03T12:00:00,19.797792
1667473200,2022-11-03T13:00:00,19.822081
1667476800,2022-11-03T14:00:00,19.847980
1667480400,2022-11-03T15:00:00,19.873185
1667484000,2022-11-03T16:00:00,19.895409
1667487600,2022-11-03T17:00:00,19.912448
1667491200,2022-11-03T18:00:00,19.922243
1667494800,2022-11-03T19:00:00,19.922935
1667498400,2022-11-03T20:00:00,19.912915
1667502000,2022-11-03T21:00:00,19.890875
